OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
30483|FORD CREDIT- AUTO FINANCIER|25683|0|25683|0|0|669692
30484|FORD CREDIT- AUTO FINANCIER|25554|0|4098|0|21456|669692
30485|ALLY AUTO- BANK|20869|0|2229|0|18640|669692
30486|ALLY AUTO- BANK|20424|0|2145|0|18279|669692
30487|ALLY AUTO- BANK|36061|0|2704|0|33357|669692
30488|FORD CREDIT- AUTO FINANCIER|0|47567|0|0|47567|669692
30489|NONE|0|0|0|0|0|669702
30490|NONE|0|0|0|0|0|669710
30491|Vehicle Loan Payable - Ally|26275|0|8140|0|18135|669715
30492|Vehicle Loan Payable - Union Yes FCU|99164|0|51242|0|47922|669715
30493|Vehicle Loan Payable - Ford|0|0|0|0|53062|669715
30494|Ford credit|315566|34910|98793|0|251683|669721
30495|AUTOMOBILE FINANCING|47142|37264|14992||69414|669722
30496|BANK FINANCING|242965|0|242965||0|669722
30497|NONE|0|0|0|0|0|669728
30498|NONE|0|0|0|0|0|669734
30500|None|0|0|0|0|0|669740
30501|NONE|0|0|0|0|0|669747
30503|Power CU-Auto Loan|5328|0|5328|0|0|669792
30504|no loans exist n/a|0||||0|669797
30505|Members|25080||||25080|669810
30506|Capital lease|5551||5551||0|669810
30507|Unconsolidated Subsidiary|9142||9142||0|669810
30508|First Hawaiian Bank (Building)|321559|0|10110||311449|669830
30509|First Hawaiian Bank (Auto)|31931|0|11529||20402|669830
30510|XEROX COPIER|14659|0|14659|0|0|669844
30511|DOLLAR BANK CONSTRUCTION |0|155713|3439||152274|669855
30512|Ford Motor Credit Company|12644|0|8631|0|4013|669861
30513|N/A|0|0|0|0|0|669877
30514|Small Business Administration|133964|0|3264||130700|670034
30515|Louis Pernice|30000|0|0|0|30000|670034
30516|Pitney Bowes Lease|11569|0|6952||4617|670046
30517|Ford Credit Co.|13838|0|13838|0|0|670051
30518|NONE|0|0|0|0|0|670068
30519|n/a|0|0|0|0|0|670079
30520|M & T Bank|0|89000|0|0|89000|670097
30521|ALLY GMAC|42424|0|13582|0|28842|670118
30522|AMALGAMATED BANK|0|8269310|0|0|8269310|670124
30523|Auto Loan - Canandaguia National Bank|884|0|884||0|670127
30524|Auto Loan - Canandaguia National Bank|5555|0|5555|0|0|670127
